window,strategy,n_days,CAGR,ann_vol,Sharpe,Sortino,max_dd,monthly_hit,ann_turnover,cost_drag_ann,beta_SPY,alpha_SPY_ann
full,momentum_12-1,3873,-0.0519,0.1478,-0.286,-0.392,-0.756,0.481,24.2,0.0242,0.035,-0.0477
full,reversal_1d,3873,-0.2449,0.1531,-1.757,-2.259,-0.9871,0.254,300.08,0.3001,0.065,-0.2789
full,reversal_5d,3873,-0.137,0.1551,-0.872,-1.183,-0.8997,0.395,135.4,0.1354,0.076,-0.1467
full,reversal_21d,3873,-0.1466,0.1539,-0.953,-1.284,-0.9154,0.373,70.79,0.0708,0.063,-0.1561
in_sample,combined_mom+rev5,2012,-0.0568,0.1136,-0.458,-0.628,-0.4657,0.427,110.47,0.1105,0.041,-0.0567
out_of_sample,combined_mom+rev5,1861,-0.1598,0.1662,-0.964,-1.293,-0.7537,0.404,109.55,0.1095,0.062,-0.1719
full,combined_mom+rev5,3873,-0.1078,0.1414,-0.736,-0.994,-0.8602,0.416,110.03,0.11,0.054,-0.112
full @ 0 bps,combined_mom+rev5,3873,-0.004,0.1412,0.042,0.059,-0.5148,0.562,110.03,0.0,0.053,-0.002
full @ 5 bps,combined_mom+rev5,3873,-0.0573,0.1412,-0.347,-0.477,-0.7037,0.476,110.03,0.055,0.053,-0.057
full @ 10 bps,combined_mom+rev5,3873,-0.1078,0.1414,-0.736,-0.994,-0.8602,0.416,110.03,0.11,0.054,-0.112
full @ 25 bps,combined_mom+rev5,3873,-0.2437,0.1423,-1.89,-2.433,-0.9869,0.227,110.03,0.2751,0.054,-0.277
