strategy,window,n_trials,point_sharpe,expected_max_sharpe_null,psr_vs_zero,dsr,skewness,kurtosis,significant_at_5pct
optimizer_locked,Full,1,0.148,0.0,0.7164,0.7164,0.708,40.493,False
optimizer_locked,Full,10,0.148,0.487,0.7164,0.0951,0.708,40.493,False
optimizer_locked,Full,25,0.148,0.599,0.7164,0.0406,0.708,40.493,False
optimizer_locked,Full,50,0.148,0.672,0.7164,0.0214,0.708,40.493,False
optimizer_locked,In-sample,1,0.459,0.0,0.8963,0.8963,0.666,43.2,False
optimizer_locked,In-sample,10,0.459,0.686,0.8963,0.2659,0.666,43.2,False
optimizer_locked,In-sample,25,0.459,0.844,0.8963,0.1445,0.666,43.2,False
optimizer_locked,In-sample,50,0.459,0.947,0.8963,0.0897,0.666,43.2,False
optimizer_locked,Out-of-sample,1,-0.09,0.0,0.4039,0.4039,0.719,36.036,False
optimizer_locked,Out-of-sample,10,-0.09,0.691,0.4039,0.0172,0.719,36.036,False
optimizer_locked,Out-of-sample,25,-0.09,0.85,0.4039,0.0054,0.719,36.036,False
optimizer_locked,Out-of-sample,50,-0.09,0.953,0.4039,0.0023,0.719,36.036,False
baseline_eq_carry+cot,Full,1,1.004,0.0,1.0,1.0,0.282,7.229,True
baseline_eq_carry+cot,Full,10,1.004,0.487,1.0,0.9776,0.282,7.229,True
baseline_eq_carry+cot,Full,25,1.004,0.599,1.0,0.9419,0.282,7.229,False
baseline_eq_carry+cot,Full,50,1.004,0.672,1.0,0.9012,0.282,7.229,False
baseline_eq_carry+cot,In-sample,1,0.909,0.0,0.9938,0.9938,0.237,4.351,True
baseline_eq_carry+cot,In-sample,10,0.909,0.686,0.9938,0.7307,0.237,4.351,False
baseline_eq_carry+cot,In-sample,25,0.909,0.844,0.9938,0.5714,0.237,4.351,False
baseline_eq_carry+cot,In-sample,50,0.909,0.947,0.9938,0.4592,0.237,4.351,False
baseline_eq_carry+cot,Out-of-sample,1,1.095,0.0,0.9986,0.9986,0.269,7.307,True
baseline_eq_carry+cot,Out-of-sample,10,1.095,0.691,0.9986,0.8652,0.269,7.307,False
baseline_eq_carry+cot,Out-of-sample,25,1.095,0.85,0.9986,0.7482,0.269,7.307,False
baseline_eq_carry+cot,Out-of-sample,50,1.095,0.953,0.9986,0.6504,0.269,7.307,False
