perturbation_kind,perturbation,sharpe,sharpe_delta_vs_baseline,ci_low_95,ci_high_95,sig_at_5pct,ann_vol,max_dd,n_days
baseline,baseline_13c_carry21_cot156_q40_10bps,1.004,0.0,0.538,1.434,True,0.1083,-0.1184,3748
leave_one_out,drop_CL=F,1.007,0.003,0.523,1.45,True,0.1053,-0.1313,3748
leave_one_out,drop_BZ=F,0.833,-0.171,0.366,1.267,True,0.1079,-0.1365,3748
leave_one_out,drop_NG=F,0.896,-0.108,0.424,1.337,True,0.0971,-0.1276,3748
leave_one_out,drop_RB=F,0.977,-0.027,0.47,1.44,True,0.1101,-0.1835,3748
leave_one_out,drop_HO=F,0.992,-0.012,0.525,1.426,True,0.1082,-0.121,3748
leave_one_out,drop_GC=F,1.007,0.003,0.512,1.448,True,0.1116,-0.13,3748
leave_one_out,drop_SI=F,0.863,-0.141,0.403,1.305,True,0.1094,-0.125,3748
leave_one_out,drop_HG=F,1.013,0.009,0.532,1.453,True,0.1105,-0.1355,3748
leave_one_out,drop_PL=F,0.905,-0.099,0.433,1.324,True,0.1098,-0.1305,3748
leave_one_out,drop_PA=F,0.878,-0.126,0.4,1.316,True,0.1088,-0.1336,3748
leave_one_out,drop_ZC=F,0.989,-0.015,0.518,1.408,True,0.1092,-0.1353,3748
leave_one_out,drop_ZW=F,1.035,0.031,0.561,1.473,True,0.1089,-0.1164,3748
leave_one_out,drop_ZS=F,1.021,0.017,0.549,1.463,True,0.1102,-0.1292,3748
split,is_end=2017-12-31,1.08,0.076,,,,0.1203,-0.1184,2112
split,is_end=2018-12-31,1.095,0.091,,,,0.1235,-0.1184,1861
split,is_end=2019-12-31,1.174,0.17,,,,0.1287,-0.1184,1609
split,is_end=2020-12-31,1.268,0.264,,,,0.124,-0.0897,1356
quantile,quantile=30,0.999,-0.005,0.53,1.427,True,0.1263,-0.1487,3748
quantile,quantile=40,1.004,0.0,0.538,1.434,True,0.1083,-0.1184,3748
quantile,quantile=50,1.015,0.011,0.544,1.453,True,0.0977,-0.0942,3748
carry_lookback,carry_lookback=10,1.189,0.185,0.748,1.604,True,0.1095,-0.1566,3748
carry_lookback,carry_lookback=21,1.004,0.0,0.538,1.434,True,0.1083,-0.1184,3748
carry_lookback,carry_lookback=42,0.649,-0.355,0.176,1.073,True,0.1094,-0.141,3748
cot_lookback,cot_lookback=104w,1.07,0.066,0.623,1.513,True,0.1088,-0.0989,3874
cot_lookback,cot_lookback=156w,1.004,0.0,0.538,1.434,True,0.1083,-0.1184,3748
cot_lookback,cot_lookback=208w,1.122,0.118,0.623,1.593,True,0.1108,-0.154,3622
