train_mode,year,n_days,oos_sharpe,oos_cum_return,surviving_signals,is_sharpe_momentum,is_sharpe_reversal,is_sharpe_ts_momentum,is_sharpe_carry,is_sharpe_cot,is_sharpe_inventory
expanding,2015,252,1.038,0.1197,momentum+carry+cot,0.266,-0.88,-0.894,1.459,0.098,-0.135
expanding,2016,252,0.27,0.0252,momentum+carry+cot,0.07,-0.811,-1.498,1.525,0.396,-0.081
expanding,2017,251,1.981,0.1487,carry+cot,-0.38,-0.868,-1.282,1.231,0.647,-0.219
expanding,2018,251,0.976,0.0897,carry+cot,-0.28,-0.975,-1.22,1.281,0.681,-0.607
expanding,2019,252,0.411,0.0314,carry+cot,-0.429,-1.073,-0.963,1.277,0.703,-0.597
expanding,2020,253,0.778,0.1126,carry+cot,-0.574,-0.943,-1.12,1.2,0.679,-0.627
expanding,2021,252,1.453,0.1751,carry+cot,-0.395,-1.085,-0.884,1.022,0.705,-0.832
expanding,2022,251,1.673,0.2446,carry+cot,-0.415,-0.946,-0.79,1.082,0.642,-0.84
expanding,2023,251,1.193,0.1329,carry+cot,-0.331,-0.957,-0.82,1.232,0.588,-0.777
expanding,2024,252,0.632,0.0675,carry+cot,-0.447,-0.894,-0.807,1.258,0.551,-0.752
expanding,2025,252,0.671,0.0747,carry+cot,-0.409,-0.823,-0.787,1.352,0.573,-0.745
expanding,2026,98,2.457,0.1762,carry+cot,-0.248,-0.777,-0.695,1.363,0.421,-0.705
rolling-5y,2016,252,0.27,0.0252,momentum+carry+cot,0.07,-0.811,-1.498,1.525,0.396,-0.081
rolling-5y,2017,251,1.981,0.1487,carry+cot,-0.366,-1.039,-1.156,0.923,0.643,-0.257
rolling-5y,2018,251,0.976,0.0897,carry+cot,-0.023,-1.083,-1.144,1.1,0.702,-0.809
rolling-5y,2019,252,0.411,0.0314,carry+cot,-0.593,-1.339,-0.807,0.953,1.018,-0.776
rolling-5y,2020,253,0.778,0.1126,carry+cot,-1.043,-0.985,-1.259,1.05,1.105,-0.887
rolling-5y,2021,252,1.453,0.1751,carry+cot,-0.726,-1.297,-0.492,0.677,0.965,-1.296
rolling-5y,2022,251,1.673,0.2446,carry+cot,-0.433,-1.048,-0.344,0.952,0.607,-1.334
rolling-5y,2023,251,1.193,0.1329,carry+cot,-0.384,-0.966,-0.472,1.215,0.481,-0.966
rolling-5y,2024,252,0.632,0.0675,carry+cot,-0.482,-0.742,-0.668,1.276,0.362,-0.94
rolling-5y,2025,252,0.671,0.0747,carry+cot,-0.245,-0.71,-0.43,1.578,0.446,-0.919
rolling-5y,2026,98,2.457,0.1762,carry+cot,-0.015,-0.272,-0.379,1.925,0.002,-0.435
