series,n_trials,point_sharpe,expected_max_sharpe_null,psr_vs_zero,dsr,passes_95
static_full_window,1,1.004,0.0,1.0,1.0,True
static_full_window,5,1.004,0.382,1.0,0.9921,True
static_full_window,10,1.004,0.487,1.0,0.9776,True
static_full_window,15,1.004,0.539,1.0,0.9643,True
static_full_window,18,1.004,0.561,1.0,0.9571,True
static_full_window,20,1.004,0.574,1.0,0.9525,True
static_full_window,25,1.004,0.599,1.0,0.9419,False
static_full_window,30,1.004,0.619,1.0,0.9324,False
static_full_window,40,1.004,0.649,1.0,0.9156,False
static_full_window,47,1.004,0.666,1.0,0.9053,False
static_full_window,50,1.004,0.672,1.0,0.9012,False
static_full_window,60,1.004,0.69,1.0,0.8886,False
static_full_window,75,1.004,0.711,1.0,0.8721,False
static_full_window,100,1.004,0.738,1.0,0.8493,False
walkforward_oos,1,1.046,0.0,0.9998,0.9998,True
walkforward_oos,5,1.046,0.437,0.9998,0.9805,True
walkforward_oos,10,1.046,0.556,0.9998,0.9513,True
walkforward_oos,15,1.046,0.616,0.9998,0.9271,False
walkforward_oos,18,1.046,0.642,0.9998,0.9146,False
walkforward_oos,20,1.046,0.656,0.9998,0.9068,False
walkforward_oos,25,1.046,0.685,0.9998,0.8894,False
walkforward_oos,30,1.046,0.708,0.9998,0.8741,False
walkforward_oos,40,1.046,0.742,0.9998,0.8482,False
walkforward_oos,47,1.046,0.761,0.9998,0.8328,False
walkforward_oos,50,1.046,0.768,0.9998,0.8267,False
walkforward_oos,60,1.046,0.789,0.9998,0.8083,False
walkforward_oos,75,1.046,0.813,0.9998,0.785,False
walkforward_oos,100,1.046,0.843,0.9998,0.7537,False
